timestamp,algorithm,run,memory_kb,cpu_percent,elapsed_time,user_time,system_time
2026-04-17T19:37:09.657999,Kyber512,20,1552,99,0:00.13,0.13,0.0
2026-04-17T19:37:09.795934,Kyber512,21,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:09.933472,Kyber512,22,1536,99,0:00.13,0.12,0.01
2026-04-17T19:37:10.071385,Kyber512,23,1540,99,0:00.13,0.13,0.0
2026-04-17T19:37:10.210351,Kyber512,24,1544,100,0:00.13,0.12,0.0
2026-04-17T19:37:10.348692,Kyber512,25,1552,99,0:00.13,0.12,0.0
2026-04-17T19:37:10.486265,Kyber512,26,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:10.624231,Kyber512,27,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:10.762769,Kyber512,28,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:10.901842,Kyber512,29,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:11.040823,Kyber512,30,1552,100,0:00.13,0.12,0.0
2026-04-17T19:37:58.042717,FrodoKEM-640-AES,1,1424,99,0:46.99,46.99,0.0
2026-04-17T19:38:44.923465,FrodoKEM-640-AES,2,1424,99,0:46.87,46.86,0.0
2026-04-17T19:39:31.921287,FrodoKEM-640-AES,3,1552,99,0:46.99,46.99,0.0
2026-04-17T19:40:18.860957,FrodoKEM-640-AES,4,1424,99,0:46.93,46.92,0.0
2026-04-17T19:41:05.758095,FrodoKEM-640-AES,5,1488,99,0:46.89,46.88,0.0
2026-04-17T19:41:52.687263,FrodoKEM-640-AES,6,1304,99,0:46.92,46.92,0.0
2026-04-17T19:42:39.682045,FrodoKEM-640-AES,7,1412,99,0:46.99,46.97,0.0
2026-04-17T19:43:26.760645,FrodoKEM-640-AES,8,1432,99,0:47.07,47.07,0.0
2026-04-17T19:44:13.603647,FrodoKEM-640-AES,9,1488,99,0:46.84,46.83,0.0
2026-04-17T19:45:00.555541,FrodoKEM-640-AES,10,1488,99,0:46.94,46.94,0.0
2026-04-17T19:45:47.431954,FrodoKEM-640-AES,11,1488,99,0:46.87,46.87,0.0
2026-04-17T19:46:34.356576,FrodoKEM-640-AES,12,1488,99,0:46.92,46.91,0.0
2026-04-17T19:47:21.203461,FrodoKEM-640-AES,13,1424,99,0:46.84,46.83,0.0
2026-04-17T19:48:08.134390,FrodoKEM-640-AES,14,1412,99,0:46.92,46.9,0.01
2026-04-17T19:48:55.104016,FrodoKEM-640-AES,15,1616,99,0:46.96,46.95,0.0
2026-04-17T19:49:41.928554,FrodoKEM-640-AES,16,1488,99,0:46.82,46.81,0.0
2026-04-17T19:50:28.856747,FrodoKEM-640-AES,17,1424,99,0:46.92,46.91,0.0
2026-04-17T19:51:15.809816,FrodoKEM-640-AES,18,1412,99,0:46.95,46.93,0.0
2026-04-17T19:52:02.717374,FrodoKEM-640-AES,19,1408,99,0:46.90,46.88,0.01
